scenario,fold100,pval100,neg_top100,v02fp_top1k,ltbp1_rank,gapdh_score,jaccard100,spearman
RAND_0352,28.8942857142857,8.35064971012568e-06,0,0,403,0,0.666666666666667,0.99245510367085
RAND_0353,21.6707142857143,0.000315516010147151,0,0,414,0,0.923076923076923,0.992618011062605
RAND_0354,28.8942857142857,8.35064971012568e-06,0,1,129,0,0.70940170940171,0.99630711790749
RAND_0355,28.8942857142857,8.35064971012568e-06,0,1,280,0,0.923076923076923,0.998716780853673
RAND_0356,21.6707142857143,0.000315516010147151,0,0,320,0,0.754385964912281,0.998796792173138
RAND_0357,28.8942857142857,8.35064971012568e-06,0,0,537,0,0.869158878504673,0.990924124618209
RAND_0358,21.6707142857143,0.000315516010147151,0,0,465,0,0.70940170940171,0.999140961771343
RAND_0359,21.6707142857143,0.000315516010147151,0,0,427,0,0.769911504424779,0.999321098008663
RAND_0360,21.6707142857143,0.000315516010147151,0,1,356,0,0.652892561983471,0.977489635207166
RAND_0361,28.8942857142857,8.35064971012568e-06,0,1,141,0,0.739130434782609,0.997912515570577
RAND_0362,28.8942857142857,8.35064971012568e-06,0,1,46,0,0.739130434782609,0.996629681517167
RAND_0363,28.8942857142857,8.35064971012568e-06,0,0,370,0,0.739130434782609,0.997396757070424
RAND_0364,28.8942857142857,8.35064971012568e-06,0,0,127,0,0.801801801801802,0.992264989780415
RAND_0365,28.8942857142857,8.35064971012568e-06,0,0,324,0,0.70940170940171,0.998666458592104
RAND_0366,28.8942857142857,8.35064971012568e-06,0,1,110,0,0.680672268907563,0.981331148627302
RAND_0367,21.6707142857143,0.000315516010147151,0,0,421,0,0.680672268907563,0.995455143062794
RAND_0368,28.8942857142857,8.35064971012568e-06,0,0,320,0,0.886792452830189,0.999728685292552
RAND_0369,21.6707142857143,0.000315516010147151,0,1,254,0,0.904761904761905,0.996048536491722
RAND_0370,28.8942857142857,8.35064971012568e-06,0,0,321,0,0.941747572815534,0.999581359674411
RAND_0371,28.8942857142857,8.35064971012568e-06,0,1,94,0,0.834862385321101,0.996170672424267
RAND_0372,28.8942857142857,8.35064971012568e-06,0,0,336,0,0.739130434782609,0.991866984927133
RAND_0373,28.8942857142857,8.35064971012568e-06,0,0,397,0,0.70940170940171,0.999344200665185
RAND_0374,28.8942857142857,8.35064971012568e-06,0,0,248,0,0.818181818181818,0.996493768182563
RAND_0375,21.6707142857143,0.000315516010147151,0,0,383,0,0.70940170940171,0.994819497225017
RAND_0376,28.8942857142857,8.35064971012568e-06,0,0,371,0,0.923076923076923,0.999511019146139
RAND_0377,21.6707142857143,0.000315516010147151,0,0,254,0,0.652892561983471,0.982632734186434
RAND_0378,28.8942857142857,8.35064971012568e-06,0,0,187,0,0.904761904761905,0.998102623610164
RAND_0379,28.8942857142857,8.35064971012568e-06,0,0,247,0,0.70940170940171,0.985556199481607
RAND_0380,21.6707142857143,0.000315516010147151,0,0,449,0,0.666666666666667,0.988848659496987
RAND_0381,21.6707142857143,0.000315516010147151,0,0,491,0,0.904761904761905,0.999638385905748
RAND_0382,28.8942857142857,8.35064971012568e-06,0,0,139,0,0.694915254237288,0.994962427671687
RAND_0383,28.8942857142857,8.35064971012568e-06,0,0,334,0,0.851851851851852,0.995755335952478
RAND_0384,21.6707142857143,0.000315516010147151,0,0,455,0,0.680672268907563,0.994944043800096
RAND_0385,21.6707142857143,0.000315516010147151,0,0,436,0,0.769911504424779,0.998112487955326
RAND_0386,21.6707142857143,0.000315516010147151,0,0,430,0,0.801801801801802,0.994037428221879
RAND_0387,21.6707142857143,0.000315516010147151,0,0,467,0,0.724137931034483,0.992632708353901
RAND_0388,28.8942857142857,8.35064971012568e-06,0,0,269,0,0.769911504424779,0.996963462103479
RAND_0389,28.8942857142857,8.35064971012568e-06,0,0,132,0,0.694915254237288,0.995393170147843
RAND_0390,21.6707142857143,0.000315516010147151,0,1,241,0,0.680672268907563,0.97350739713934
RAND_0391,28.8942857142857,8.35064971012568e-06,0,0,321,0,0.98019801980198,0.999829641402404
RAND_0392,14.4471428571429,0.00815293421191023,0,0,968,0,0.70940170940171,0.997764732599487
RAND_0393,28.8942857142857,8.35064971012568e-06,0,1,93,0,0.754385964912281,0.997798475419064
RAND_0394,14.4471428571429,0.00815293421191023,0,0,811,0,0.739130434782609,0.994962330291043
RAND_0395,28.8942857142857,8.35064971012568e-06,0,0,189,0,0.724137931034483,0.996314318613152
RAND_0396,28.8942857142857,8.35064971012568e-06,0,0,325,0,0.739130434782609,0.998998611725382
RAND_0397,28.8942857142857,8.35064971012568e-06,0,1,191,0,0.769911504424779,0.996355105738473
RAND_0398,21.6707142857143,0.000315516010147151,0,0,384,0,0.70940170940171,0.998186664475297
RAND_0399,28.8942857142857,8.35064971012568e-06,0,1,126,0,0.724137931034483,0.988339555245997
RAND_0400,28.8942857142857,8.35064971012568e-06,0,0,72,0,0.739130434782609,0.998846985147202
RAND_0401,28.8942857142857,8.35064971012568e-06,0,1,219,0,0.834862385321101,0.997854566518773
RAND_0402,21.6707142857143,0.000315516010147151,0,0,470,0,0.801801801801802,0.999295617063408
RAND_0403,21.6707142857143,0.000315516010147151,0,0,414,0,0.818181818181818,0.995953178616692
RAND_0404,28.8942857142857,8.35064971012568e-06,0,1,146,0,0.739130434782609,0.995602131490953
RAND_0405,28.8942857142857,8.35064971012568e-06,0,0,308,0,0.739130434782609,0.999279383309061
RAND_0406,28.8942857142857,8.35064971012568e-06,0,1,93,0,0.834862385321101,0.998542175578024
RAND_0407,21.6707142857143,0.000315516010147151,0,0,377,0,0.70940170940171,0.998198530576896
RAND_0408,21.6707142857143,0.000315516010147151,0,0,353,0,0.70940170940171,0.991677321511417
RAND_0409,28.8942857142857,8.35064971012568e-06,0,1,83,0,0.680672268907563,0.992501299528504
RAND_0410,28.8942857142857,8.35064971012568e-06,0,0,287,0,0.680672268907563,0.988965286687156
RAND_0411,28.8942857142857,8.35064971012568e-06,0,1,125,0,0.904761904761905,0.99453680577937
RAND_0412,28.8942857142857,8.35064971012568e-06,0,0,364,0,0.785714285714286,0.995267668590042
RAND_0413,28.8942857142857,8.35064971012568e-06,0,0,236,0,0.785714285714286,0.996451469280362
RAND_0414,28.8942857142857,8.35064971012568e-06,0,0,135,0,0.923076923076923,0.997230084262833
RAND_0415,21.6707142857143,0.000315516010147151,0,0,453,0,0.739130434782609,0.99838136093269
RAND_0416,21.6707142857143,0.000315516010147151,0,0,490,0,0.851851851851852,0.991018716043668
RAND_0417,21.6707142857143,0.000315516010147151,0,1,285,0,0.754385964912281,0.999536651011947
RAND_0418,28.8942857142857,8.35064971012568e-06,0,1,222,0,0.739130434782609,0.997217086312232
RAND_0419,21.6707142857143,0.000315516010147151,0,0,370,0,0.904761904761905,0.998807528515323
RAND_0420,28.8942857142857,8.35064971012568e-06,0,1,90,0,0.739130434782609,0.996927627501013
RAND_0421,28.8942857142857,8.35064971012568e-06,0,0,360,0,0.941747572815534,0.998878509537395
RAND_0422,21.6707142857143,0.000315516010147151,0,0,438,0,0.70940170940171,0.998541979011564
RAND_0423,28.8942857142857,8.35064971012568e-06,0,0,295,0,0.754385964912281,0.998626942261834
RAND_0424,28.8942857142857,8.35064971012568e-06,0,1,68,0,0.739130434782609,0.995857809394034
RAND_0425,28.8942857142857,8.35064971012568e-06,0,1,242,0,0.851851851851852,0.999281267125622
RAND_0426,28.8942857142857,8.35064971012568e-06,0,0,237,0,0.785714285714286,0.997041936338822
RAND_0427,21.6707142857143,0.000315516010147151,0,1,363,0,0.785714285714286,0.996658629363082
RAND_0428,21.6707142857143,0.000315516010147151,0,0,537,0,0.801801801801802,0.99935651222649
RAND_0429,21.6707142857143,0.000315516010147151,0,0,402,0,0.851851851851852,0.999314452500947
