gene_symbol,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,rank_median,rank_lo95,rank_hi95,confidence_class,is_hk,is_plasma_hi,leakage_mult,max_I2_meta,rna_pattern_rho,rna_cohort_agreement
SLC35E2B,0.124642209158596,0.103019991399669,0.303452834055086,0.200432842655416,5322.5,2726.075,5936.525,low,FALSE,FALSE,1,93.2187816734767,0.944380219132491,0.5
SLC35F1,0.0231546592896346,0.00779440595628231,0.070229542125894,0.0624351361696117,9149.5,7011.7,9873.625,low,FALSE,FALSE,1,95.1203936299503,0.983126805371825,0.5
SLC35F2,0.393036966006054,0.345557808363802,0.450919653917237,0.105361845553435,1617,975.475,2075.2,medium,FALSE,FALSE,1,47.17481716006,0.955618252985433,0.5
SLC35F3,0.0367443612236156,0.0203245745827226,0.0907569564631278,0.0704323818804052,8258,6364.8,9304.35,low,FALSE,FALSE,1,97.0145404722125,0.617463251545685,1
SLC35F4,0.0375412908718315,0.0208863628414704,0.0916991020338665,0.0708127391923961,8225.5,6324.75,9279.675,low,FALSE,FALSE,1,96.8101534962869,0.614594564080303,1
SLC35G1,0.137468460939852,0.121220163689977,0.333672982487579,0.212452818797602,4947.5,2319.95,5384.825,low,FALSE,FALSE,1,97.9798596447724,0.994060473202207,1
SLC35G2,0.0165719924492032,0.00271635495784119,0.0637696058355574,0.0610532508777162,9509.5,7243.5,10016.1,low,FALSE,FALSE,1,92.4104104259066,0.72620156901892,0.25
SLC35G6,0.356699026131015,0.330883238230373,0.408734662473245,0.0778514242428722,2041,1469.65,2220,medium,FALSE,FALSE,1,31.3447123965063,0.995927682781689,
SLC36A1,0.427424281276852,0.371098415491806,0.472238995279976,0.10114057978817,1185.5,750.425,1853.1,medium,FALSE,FALSE,1,22.2684054327552,0.978680070752082,0.75
SLC36A4,0.0169029655830835,0.00277580183153093,0.0553467768703106,0.0525709750387797,9491.5,7539.75,10012.1,low,FALSE,FALSE,1,92.8896237123161,0.746587668552851,0.25
SLC37A2,0.0723589735900982,0.0348859008113395,0.122875316114738,0.087989415303398,6964.5,5383.95,8368.125,low,FALSE,FALSE,1,71.5873349891798,0.999722239705459,0.75
SLC37A4,0.249279815936855,0.227408838481565,0.59613532702392,0.368726488542355,3612,308.7,3860.05,high_uncertain,FALSE,FALSE,1,97.5239533152074,0.941129141608687,0.75
SLC38A10,0.194732614619564,0.172135485515709,0.464067117570917,0.291931632055207,4257,780.95,4574.05,low,FALSE,FALSE,1,93.4992177442536,0.981876701488428,0.75
SLC38A11,0.366845021155232,0.232702847119742,0.422342195800671,0.189639348680929,1914,1332.475,3823.775,low,FALSE,FALSE,1,65.4600959905893,0.948918717710618,0.75
SLC38A3,0.249247867174708,0.103257822486165,0.37237392275,0.269116100263835,3608,1861.925,5987.575,low,FALSE,FALSE,1,79.8294760215889,0.986800260434722,0
SLC38A4,0.0231838365371797,0.00633322576294345,0.0686003238818016,0.0622670981188581,9134,7078.425,9920.525,low,FALSE,FALSE,1,97.0287761458883,0.712776908220018,0.5
SLC38A5,0.420551581049954,0.173373023193535,0.47632918296136,0.302956159767825,1195.5,732.475,4559.625,low,FALSE,FALSE,1,87.1085648850909,0.970101712120959,0.75
SLC39A1,0.0143093152250207,0.00250546878117514,0.038576680413133,0.0360712116319579,9620,8161.6,10026,low,FALSE,FALSE,1,99.8394641634346,0.94435957334805,0.25
SLC39A10,0.610185029300755,0.410662355912705,0.684884948975094,0.274222593062389,255.5,81.475,1279.1,high_uncertain,FALSE,FALSE,1,63.7417936080221,0.983410991137825,0.25
SLC39A11,0.162780783363157,0.106004770703712,0.197577340344327,0.0915725696406146,4707.5,4213.9,5937.075,low,FALSE,FALSE,1,19.840173902236,0.991795377070546,0.75
SLC39A14,0.498028726997292,0.432419520001892,0.720212385778519,0.287792865776626,592,47.475,1091.8,high_uncertain,FALSE,FALSE,1,70.504099703619,0.987094269772894,0.75
SLC39A4,0.131117725090619,0.108111110983084,0.312375807968258,0.204264696985174,5132.5,2557.9,5827.575,low,FALSE,FALSE,1,91.7146010174469,0.938172844137728,0.75
SLC39A5,0.132043566277131,0.11081484635064,0.323043031985716,0.212228185635076,5089,2441.95,5746.175,low,FALSE,FALSE,1,94.6778717506996,0.981068153803634,0.75
SLC39A6,0.215360855554633,0.0888709675628089,0.266295193114274,0.177424225551465,4018.5,3386.325,6359.05,low,FALSE,FALSE,1,85.8216726819673,0.921540800090261,0
SLC39A8,0.271927329196971,0.219228881190427,0.4103645022773,0.191135621086873,3214,1506.375,3978.775,low,FALSE,FALSE,1,71.0480632501264,0.996018980266591,0.5
SLC3A1,0.20538994570796,0.186865795031153,0.495916235549989,0.309050440518836,4116,592,4339.15,low,FALSE,FALSE,1,99.1137854930857,0.999537261984421,0.5
SLC41A1,0.140753557703125,0.122261934426789,0.337603405074467,0.215341470647677,4899,2294.9,5396.075,low,FALSE,FALSE,1,93.7327382335589,0.999301288098473,1
SLC43A1,0.216324338561869,0.19550812149634,0.526360364001432,0.330852242505092,3998,514.95,4241.25,high_uncertain,FALSE,FALSE,1,92.0643675740817,0.988265014399657,0.75
SLC43A2,0.0618407268385621,0.01818223194239,0.0941100376668416,0.0759278057244516,7282,6281.8,9440.575,low,FALSE,FALSE,1,83.2266100577876,0.9666257043267,0.75
SLC44A1,0.622518043371949,0.433189111528021,0.676956854568835,0.243767743040814,217,113,1073.25,high_uncertain,FALSE,FALSE,1,56.8771288958949,0.963228007765353,0.75
SLC44A3,0.245392861542811,0.208693106836171,0.299163752867992,0.0904706460318204,3669,2753.85,4076.675,low,FALSE,FALSE,1,46.0488051898816,0.961650311273015,0.25
SLC44A4,0.626872387718705,0.572635144445271,0.679231632637599,0.106596488192328,208,89.475,339.525,stable_high,FALSE,FALSE,1,0,0.977388316665033,0.5
SLC45A1,0.0250750859308407,0.00766139638816736,0.0752452940445297,0.0675838976563623,9031,6880.125,9879.625,low,FALSE,FALSE,1,92.6821322855479,0.587910789466393,0.5
SLC45A2,0.0067747689369903,0.00036355256976622,0.0387003391097879,0.0383367865400217,9901,8208.475,10075.525,low,FALSE,FALSE,1,92.6110581707948,0.606804632596012,
SLC45A3,0.289861925182679,0.120809801058564,0.443249300503365,0.322439499444801,2931.5,1060.95,5424.125,low,FALSE,FALSE,1,76.2958682070669,0.990652961187154,0.5
SLC46A1,0.136292584584859,0.119259317080428,0.323614252465155,0.204354935384727,4976,2378.8,5447.3,low,FALSE,FALSE,1,99.4720432704997,0.983095051061238,1
SLC46A2,0.252752917773994,0.10402874359813,0.311272506485386,0.207243762887256,3528.5,2598.25,5970,low,FALSE,FALSE,1,85.626921384855,0.979460268205426,0.25
SLC46A3,0.263867888791229,0.214905721023364,0.315166706435288,0.100260985411924,3359,2503.95,4007.35,low,FALSE,FALSE,1,0,0.765621614914831,0.5
SLC47A1,0.0797569621779821,0.0602199992547846,0.196930680358975,0.13671068110419,6708.5,4251.475,7320.525,low,FALSE,FALSE,1,93.0253701559466,0.925965534912114,0.5
SLC47A2,0.406706610045472,0.357319143167768,0.461671443983795,0.104352300816027,1446,832.425,2025,medium,FALSE,FALSE,1,39.3818629452032,0.996740501136091,0.5
SLC48A1,0.0329181100238895,0.0130965280028327,0.0843120655551126,0.0712155375522799,8487.5,6563.7,9685.2,low,FALSE,FALSE,1,92.58140689147,0.956969247733266,0.75
SLC4A1,0.0842833280324256,0.0687753285238528,0.133809726350445,0.0650343978265919,6536,5071.825,7088.525,low,FALSE,FALSE,1,51.6872215321726,0.984064221488297,
SLC4A10,0.0366721534488615,0.0146937850177176,0.0879180370403969,0.0732242520226793,8251.5,6430.4,9587.45,low,FALSE,FALSE,1,90.1854404200628,0.98135208349386,0.75
SLC4A11,0.377519220695641,0.341998209006746,0.436309998825265,0.0943117898185188,1795,1100.6,2158.575,medium,FALSE,FALSE,1,3.45029438176965,0.990667984281642,0.25
SLC4A3,0.0299767616332047,0.0054344046755525,0.0719065869005724,0.0664721822250199,8714.5,6993.25,9938.625,low,FALSE,FALSE,1,80.1514097452749,0.694468446124438,0.25
SLC4A4,0.647313145716084,0.601670900637847,0.709061482924383,0.107390582286537,145.5,57.475,253.525,stable_high,FALSE,FALSE,1,6.56771595423298,0.979685039696266,0.25
SLC4A7,0.447220173796766,0.39651421603044,0.48177359400246,0.0852593779720199,898,725.95,1565.725,medium,FALSE,FALSE,1,34.2897417391663,0.96501529832126,1
SLC4A8,0.0378605976666209,0.0210860632979619,0.0937937769003079,0.072707713602346,8198,6279.425,9275.05,low,FALSE,FALSE,1,96.1927913287499,0.874802461076986,1
SLC4A9,0.0160829284735517,0.000654842655011343,0.0664162110318705,0.0657613683768592,9528,7141.475,10068.525,low,FALSE,FALSE,1,68.3142671210598,0.890370051942246,0
SLC50A1,0.0435104979942996,0.00560811988109262,0.0978982884788316,0.092290168597739,7899.5,6103.775,9946.775,low,FALSE,FALSE,1,47.7801656458837,0.970880801269109,0.25
SLC51A,0.107794189768007,0.0986437925586571,0.270510635517502,0.171866842958845,5870,3373.975,6100.05,low,FALSE,FALSE,1,95.9556183391128,0.977385882952992,0
SLC51B,0.126469431960167,0.108156968642212,0.31241614276375,0.204259174121539,5268.5,2550.85,5825,low,FALSE,FALSE,1,95.0687124565835,0.996954581683852,0.5
SLC52A1,0.140584025295623,0.115155300180576,0.333370905468267,0.218215605287691,4945.5,2336.85,5626.15,low,FALSE,FALSE,1,90.8700544535801,0.993088660336986,0.75
SLC52A2,0.274593540119397,0.227015027910112,0.326906777153932,0.0998917492438203,3187.5,2340.375,3885.1,low,FALSE,FALSE,1,0,0.987437540427574,0.5
SLC5A1,0.185541479605429,0.168371869566687,0.449841966718277,0.28147009715159,4396,962.5,4640.05,low,FALSE,FALSE,1,97.0887077205881,0.998677771003629,0.5
SLC5A11,0.117810010210555,0.101605464718605,0.291395504204243,0.189790039485638,5529.5,2921.175,6012.15,low,FALSE,FALSE,1,94.697705274035,0.982318743941225,0.25
SLC5A12,0.133221300466814,0.113259276689248,0.322008055507622,0.208748778818373,5072.5,2397.95,5677.625,low,FALSE,FALSE,1,94.4720896975798,0.990733640862741,0.75
SLC5A3,0.257128354169165,0.10549261861601,0.388966958791045,0.283474340175034,3491,1795.475,5905.05,low,FALSE,FALSE,1,82.1893211553401,0.965360071049212,0.25
SLC5A4,0.124619773894972,0.106273460480858,0.309196725602431,0.202923265121574,5320,2604.9,5889.575,low,FALSE,FALSE,1,94.9642365611766,0.989136261979348,0.5
SLC5A5,0.0321108097584147,0.00838849330226775,0.0784321878049471,0.0700436945026793,8574,6736.925,9853.7,low,FALSE,FALSE,1,87.5988297348208,0.938489484619265,0.5
SLC5A7,0.283442215798448,0.11632238362583,0.3347066770628,0.21838429343697,2994,2331,5599.675,low,FALSE,FALSE,1,88.0645400180337,0.992949839074278,0.75
SLC5A9,0.270400768336316,0.107877640606157,0.38024928149628,0.272371640890124,3233.5,1886.7,5868.05,low,FALSE,FALSE,1,85.830090215948,0.97392333633831,0.5
SLC66A1,0.275635854178715,0.121827776771052,0.415326803804562,0.29349902703351,3149.5,1424.275,5438.6,low,FALSE,FALSE,1,74.6462612793063,0.950818705633575,0.75
SLC66A2,0.305227026734387,0.253906727921894,0.455732168605499,0.201825440683605,2642.5,875.95,3495.575,low,FALSE,FALSE,1,74.4975796559274,0.968720775560681,0.75
SLC6A12,0.195250088796281,0.160961429374992,0.252901736821585,0.091940307446593,4229.5,3573.125,4738.575,low,FALSE,FALSE,1,28.8178259743337,0.933256287388125,0.25
SLC6A13,0.107671488958176,0.0971490902632222,0.265894179923657,0.168745089660434,5885,3349.275,6121.525,low,FALSE,FALSE,1,95.2539053855205,0.964717932210288,
SLC6A15,0.371336341242861,0.33140611679845,0.433966763365193,0.102560646566743,1883.5,1168.8,2257.525,medium,FALSE,FALSE,1,43.9077522572752,0.960367757345188,0.25
SLC6A16,0.0325743723160134,0.0085390429831623,0.0791789092375491,0.0706398662543868,8512,6749.25,9851,low,FALSE,FALSE,1,87.4053589211427,0.975510763191115,0.5
