gene_symbol,score_layer,score_direction,score_early,score_serum,score_rescue,positive_score,leakage_mult,het_mult,audit_score_raw,audit_score,is_hk,is_plasma_hi,rescue_eligible
SAFB,0.25,0.25,0,0,0,0.1,1,0.3,0.03,0.040316394835741,FALSE,FALSE,FALSE
SAFB2,0.25,0.125,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SALL2,0,0.5,0,0,0,0.1,1,0.3,0.03,0.040316394835741,FALSE,FALSE,FALSE
SALL4,0.25,0.25,0.999585050950788,0,0,0.299917010190158,1,1,0.299917010190158,0.403052420026045,FALSE,FALSE,FALSE
SAMD11,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SAMD12,0.25,0.25,0.656430173784035,0,0,0.231286034756807,1,1,0.231286034756807,0.310820636574944,FALSE,FALSE,FALSE
SAMD14,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SAMD15,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SAMD4A,0.5,0.5,0.375316447644631,0,0,0.275063289528926,1,1,0.275063289528926,0.369652006182198,FALSE,FALSE,FALSE
SAMD5,0.25,0.125,0.535877873245323,0,0,0.182175574649065,1,0.7,0.127522902254345,0.171375455929526,FALSE,FALSE,FALSE
SAMD9,0.5,1,0.96780522241311,0,0,0.493561044482622,1,0.7,0.345492731137835,0.464300712047716,FALSE,FALSE,FALSE
SAMD9L,0.25,0.125,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SAMHD1,0.5,0.5,0.778291201789421,0,0,0.355658240357884,1,1,0.355658240357884,0.477961934828444,FALSE,FALSE,FALSE
SAMM50,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SAP30L,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SAPCD1,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SAPCD2,0.25,0.5,0.999966709299673,0,0,0.349993341859935,1,0.7,0.244995339301954,0.32924429440713,FALSE,FALSE,FALSE
SAR1B,0.25,0.25,0,0,0,0.1,1,0.3,0.03,0.040316394835741,FALSE,FALSE,FALSE
SARAF,0.25,0.5,0,0,0,0.15,1,0.3,0.045,0.0604745922536115,FALSE,FALSE,FALSE
SARDH,0.75,0.75,0.999935543826531,0,0,0.499987108765306,1,0.3,0.149996132629592,0.201576776897626,FALSE,FALSE,FALSE
SARM1,0.5,0.5,0.945686339559184,0,0,0.389137267911837,1,0.3,0.116741180373551,0.156886117384351,FALSE,FALSE,FALSE
SARS1,0.25,0.5,0,0,0,0.15,1,0.3,0.045,0.0604745922536115,FALSE,FALSE,FALSE
SART1,0.25,0.375,0.634997377708162,0,0,0.251999475541632,1,1,0.251999475541632,0.338657011811203,FALSE,FALSE,FALSE
SASH1,0,0.25,0,0,0,0.05,1,0.7,0.035,0.0470357939750311,FALSE,FALSE,FALSE
SASH3,0.5,0.375,0.37146638318904,0,0,0.249293276637808,1,0.7,0.174505293646466,0.234514143985928,FALSE,FALSE,FALSE
SAT2,0.5,0.875,0.98360736961982,0,0,0.471721473923964,1,0.3,0.141516442177189,0.190181091952162,FALSE,FALSE,FALSE
SATB1,0.25,0.375,0.995895634058983,0,0,0.324179126811797,1,1,0.324179126811797,0.435657789135004,FALSE,FALSE,FALSE
SAXO1,0,0,0,0,0,0,1,0.7,0,0,FALSE,FALSE,FALSE
SAXO2,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SAYSD1,0.25,0.375,0,0,0,0.125,1,0.7,0.0875,0.117589484937578,FALSE,FALSE,FALSE
SBF1,0.5,0.25,0.881242468119862,0,0,0.326248493623972,1,1,0.326248493623972,0.438438769450326,FALSE,FALSE,FALSE
SBK1,0.25,0.25,0.999475538537774,0,0,0.299895107707555,1,1,0.299895107707555,0.403022985721495,FALSE,FALSE,FALSE
SBNO1,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SBSN,0,0,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE
SBSPON,0.25,0.25,0.940708130129873,0,0,0.288141626025975,1,1,0.288141626025975,0.38722771878252,FALSE,FALSE,FALSE
SCAF1,0.25,0.5,0.52050937222636,0,0,0.254101874445272,1,0.7,0.17787131211169,0.239037668301541,FALSE,FALSE,FALSE
SCAF11,0.25,0.25,0,0,0,0.1,1,1,0.1,0.134387982785803,FALSE,FALSE,FALSE
SCAF4,0.5,0.75,0.998525766555327,0,0,0.449705153311065,1,1,0.449705153311065,0.604349684018545,FALSE,FALSE,FALSE
SCAF8,0.5,0.875,0.494899853017191,0,0,0.373979970603438,1,0.7,0.261785979422407,0.35180889696183,FALSE,FALSE,FALSE
SCAI,0.25,0.375,0,0,0,0.125,1,0.7,0.0875,0.117589484937578,FALSE,FALSE,FALSE
SCAMP1,0.25,0.375,0.884345836766308,0,0,0.301869167353262,1,0.7,0.211308417147283,0.283973119260844,FALSE,FALSE,FALSE
SCAMP4,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SCAMP5,0,0.5,0,0,0,0.1,1,0.3,0.03,0.040316394835741,FALSE,FALSE,FALSE
SCAND1,0,0.25,0,0,0,0.05,1,0.7,0.035,0.0470357939750311,FALSE,FALSE,FALSE
SCAP,0.25,0.25,0.980279716764607,0,0,0.296055943352921,1,0.7,0.207239160347045,0.27850452713263,FALSE,FALSE,FALSE
SCAPER,0.25,0.25,0,0,0,0.1,1,0.3,0.03,0.040316394835741,FALSE,FALSE,FALSE
SCARA3,0.25,0.125,0.35133289348509,0,0,0.145266578697018,1,1,0.145266578697018,0.195220824772874,FALSE,FALSE,FALSE
SCARA5,0.25,0.375,0.992099143120033,0,0,0.323419828624007,1,0.7,0.226393880036805,0.304246168531973,FALSE,FALSE,FALSE
SCARB1,0.25,0.375,0.984917592060519,0,0,0.321983518412104,1,0.3,0.0965950555236311,0.129812146589034,FALSE,FALSE,FALSE
SCARF1,0.25,0.375,0.824016800514789,0,0,0.289803360102958,1,1,0.289803360102958,0.389460889687842,FALSE,FALSE,FALSE
SCARF2,0.25,0.375,0,0,0,0.125,1,1,0.125,0.167984978482254,FALSE,FALSE,FALSE
SCART1,0.25,0.5,0.661457716762251,0,0,0.28229154335245,1,1,0.28229154335245,0.379365910686269,FALSE,FALSE,FALSE
SCCPDH,0.5,0.5,0.998140388140571,0,0,0.399628077628114,1,1,0.399628077628114,0.537052112170107,FALSE,FALSE,FALSE
SCD5,0.5,0.75,0.95898689672817,0,0,0.441797379345634,1,1,0.441797379345634,0.59372258610314,FALSE,FALSE,FALSE
SCEL,0.75,0.875,0.997783434415906,0,0,0.524556686883181,1,1,0.524556686883181,0.704941150070349,FALSE,FALSE,FALSE
SCFD1,0.25,0.25,0,0,0,0.1,1,0.7,0.07,0.0940715879500622,FALSE,FALSE,FALSE
SCG2,0.25,0.125,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SCG3,0,0.125,0,0,0,0.025,1,0.3,0.0075,0.0100790987089352,FALSE,FALSE,FALSE
